Time,com-cluster-io.min-lat cluster-2 (us),com-cluster-io.max-lat cluster-2 (us),com-cluster-io.avg-lat cluster-2 (us)
2017-11-06 09:58:25,63,11878,281
2017-11-06 10:03:23,66,6449,227
2017-11-06 10:08:23,64,10983,275
2017-11-06 10:13:23,63,10161,251
2017-11-06 10:18:23,64,26783,223
2017-11-06 10:23:23,66,5314,262
2017-11-06 10:28:23,61,14375,221
2017-11-06 10:33:23,58,18398,299
2017-11-06 10:38:23,62,13111,248
2017-11-06 10:43:23,64,9694,253
2017-11-06 10:48:23,62,22687,241
2017-11-06 10:53:23,59,8192,258
2017-11-06 10:58:23,61,11344,270
2017-11-06 11:03:23,64,20632,285
2017-11-06 11:08:23,64,14916,318
2017-11-06 11:13:23,56,39535,355
2017-11-06 11:18:23,63,11837,226
2017-11-06 11:23:23,65,12602,288
2017-11-06 11:28:23,59,10330,221
2017-11-06 11:33:23,63,19515,292
2017-11-06 11:38:23,62,12023,270
2017-11-06 11:43:23,65,7815,371
2017-11-06 11:48:23,63,18860,350
2017-11-06 11:53:23,63,3676,231
2017-11-06 11:58:23,63,11307,208
2017-11-06 12:03:23,62,13955,317
2017-11-06 12:08:23,61,11059,406
2017-11-06 12:13:23,62,18876,229
2017-11-06 12:18:23,61,31745,249
2017-11-06 12:23:23,61,11707,274
2017-11-06 12:28:23,64,12287,236
2017-11-06 12:33:23,62,10383,242
2017-11-06 12:38:23,66,13034,257
2017-11-06 12:43:23,62,30984,394
2017-11-06 12:48:23,64,15063,232
2017-11-06 12:53:23,61,11225,226
2017-11-06 12:58:23,64,10601,220
2017-11-06 13:03:23,65,7986,266
2017-11-06 13:08:23,60,11386,201
2017-11-06 13:13:23,63,11091,209
2017-11-06 13:18:23,58,10637,229
2017-11-06 13:23:23,64,8300,235
2017-11-06 13:28:23,64,11295,261
2017-11-06 13:33:23,62,11186,305
2017-11-06 13:38:23,58,13006,235
2017-11-06 13:43:23,64,14424,242
2017-11-06 13:48:23,62,11371,261
2017-11-06 13:53:23,62,12244,224
2017-11-06 13:58:23,62,9932,210
2017-11-06 14:03:23,60,17760,199
2017-11-06 14:08:23,60,11449,210
2017-11-06 14:13:23,62,17703,240
2017-11-06 14:18:23,61,6464,217
2017-11-06 14:23:23,64,16273,264
2017-11-06 14:28:23,62,12016,250
2017-11-06 14:33:23,65,16587,438
2017-11-06 14:38:23,67,28430,308
2017-11-06 14:43:23,65,15805,262
2017-11-06 14:48:23,61,15102,235
2017-11-06 14:53:23,64,19785,257
2017-11-06 14:58:23,63,15831,240
2017-11-06 15:03:23,57,21147,281
2017-11-06 15:08:23,65,10815,271
2017-11-06 15:13:23,64,9647,279
2017-11-06 15:18:23,63,11203,239
2017-11-06 15:23:23,64,7812,245
2017-11-06 15:28:23,57,22668,238
2017-11-06 15:33:23,66,14526,475
2017-11-06 15:38:23,63,23852,501
2017-11-06 15:43:23,62,16139,404
2017-11-06 15:48:23,61,13679,356
2017-11-06 15:53:23,62,14583,287
2017-11-06 15:58:23,62,13956,399
2017-11-06 16:03:23,64,3350,207
2017-11-06 16:08:23,61,11105,254
2017-11-06 16:13:23,64,15344,276
2017-11-06 16:18:23,65,18578,352
2017-11-06 16:23:23,60,7957,268
2017-11-06 16:28:23,61,22244,272
2017-11-06 16:33:23,62,11978,214
2017-11-06 16:38:23,63,10415,210
2017-11-06 16:43:23,64,9302,247
2017-11-06 16:48:23,64,20867,218
2017-11-06 16:53:23,62,13202,268
2017-11-06 16:58:23,64,13721,289
2017-11-06 17:03:23,60,12309,249
2017-11-06 17:08:23,65,13848,251
2017-11-06 17:13:23,66,13652,257
2017-11-06 17:18:23,63,11181,223
2017-11-06 17:23:23,64,19441,229
2017-11-06 17:28:23,64,26218,224
2017-11-06 17:33:23,61,11161,241
2017-11-06 17:38:23,66,36565,302
2017-11-06 17:43:23,61,12321,235
2017-11-06 17:48:23,64,13883,229
2017-11-06 17:53:23,63,7353,253
2017-11-06 17:58:23,60,10897,251
2017-11-06 18:03:23,67,15382,275
2017-11-06 18:08:23,65,11577,245
2017-11-06 18:13:23,59,11934,226
2017-11-06 18:18:23,62,13724,384
2017-11-06 18:23:23,60,15089,232
2017-11-06 18:28:23,62,44697,338
2017-11-06 18:33:23,66,32625,262
2017-11-06 18:38:23,66,11254,249
2017-11-06 18:43:23,64,15411,277
2017-11-06 18:48:23,66,13715,255
2017-11-06 18:53:23,65,18308,246
2017-11-06 18:58:23,61,5900,221
2017-11-06 19:03:23,61,13993,404
2017-11-06 19:08:23,59,12591,301
2017-11-06 19:13:23,62,12504,320
2017-11-06 19:18:23,63,15667,286
2017-11-06 19:23:23,60,15027,411
2017-11-06 19:28:23,64,20270,279
